"time","usage"
"1",1,0.233332931809089
"2",2,0.346584634341209
"3",3,0.384576090582839
"4",4,0.403959005894562
"5",5,0.354145744546861
"6",6,0.281393919361373
"7",7,0.231968367989962
"8",8,0.216259452114221
"9",9,0.335581568640391
"10",10,0.473559036117162
"11",11,0.432572532942159
"12",12,0.364362989142339
"13",13,0.27345439594947
"14",14,0.179255042262047
"15",15,0.175059228037913
"16",16,0.165795301605038
"17",17,0.111232673504277
"18",18,0.110254859151071
"19",19,0.110033316371173
"20",20,0.110002268389434
